source_mat_id,sea_surf_temp_method,sea_surf_temp,ph,ph_method,sediment_temp,sediment_temp_method,redox_potential,redox_potential_method,alkalinity,alkalinity_method,ammonium,ammonium_method,atmospheric_data,bacteria_carb_prod,bacteria_carb_prod_method,biomass,biomass_method,chem_administration,chlorophyll,chlorophyll_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_hydrogen,diss_hydrogen_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,magnesium,magnesium_method,methane,methane_method,misc_param,misc_param_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,org_carb,org_carb_method,org_matter,org_matter_method,org_nitro,org_nitro_method,organism_count,organism_count_method,oxy_stat_samp,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,particle_class,perturbation,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,porosity,pressure,pressure_method,sea_surf_salinity,sea_surf_salinity_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,tot_carb,tot_carb_method,tot_diss_nitro,tot_inorg_nitro,tot_nitro,tot_nitro_method,tot_part_carb,tot_part_carb_method,tot_phosp,tot_phosp_method,water_content,water_current,water_current_method
EMO BON EMT21 So 211020 macro 1mm (1),Hach probe,17.2,7.96,Hach probe,17.9,Aqualabo PHEHT probe,199.4,Aqualabo PHEHT probe,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hach probe,35.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMO BON EMT21 So 211020 macro 1mm (2),Hach probe,17.2,7.96,Hach probe,17.9,Aqualabo PHEHT probe,199.4,Aqualabo PHEHT probe,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hach probe,35.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMO BON EMT21 So 211020 macro 1mm (3),Hach probe,17.2,7.96,Hach probe,17.9,Aqualabo PHEHT probe,199.4,Aqualabo PHEHT probe,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hach probe,35.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMO BON EMT21 So 211020 macro 1mm (4),Hach probe,17.2,7.96,Hach probe,17.9,Aqualabo PHEHT probe,199.4,Aqualabo PHEHT probe,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hach probe,35.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMO BON EMT21 So 211020 macro 500um (1),Hach probe,17.2,7.96,Hach probe,17.9,Aqualabo PHEHT probe,199.4,Aqualabo PHEHT probe,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hach probe,35.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMO BON EMT21 So 211020 macro 500um (2),Hach probe,17.2,7.96,Hach probe,17.9,Aqualabo PHEHT probe,199.4,Aqualabo PHEHT probe,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hach probe,35.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMO BON EMT21 So 211020 macro 500um (3),Hach probe,17.2,7.96,Hach probe,17.9,Aqualabo PHEHT probe,199.4,Aqualabo PHEHT probe,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hach probe,35.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMO BON EMT21 So 211020 macro 500um (4),Hach probe,17.2,7.96,Hach probe,17.9,Aqualabo PHEHT probe,199.4,Aqualabo PHEHT probe,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hach probe,35.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMO BON EMT21 So 220420 macro 1mm (1),Hach probe,13.8,,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON EMT21 So 220420 macro 1mm (2),Hach probe,13.8,,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON EMT21 So 220420 macro 1mm (3),Hach probe,13.8,,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON EMT21 So 220420 macro 1mm (4),Hach probe,13.8,,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON EMT21 So 220420 macro 500um (1),Hach probe,13.8,,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON EMT21 So 220420 macro 500um (2),Hach probe,13.8,,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON EMT21 So 220420 macro 500um (3),Hach probe,13.8,,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON EMT21 So 220420 macro 500um (4),Hach probe,13.8,,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
